Year,Month,Day,Hour,BEBE
2023,1,20,7,0.964572525
2023,1,20,8,0.963372275
2023,1,20,9,0.963233925
2023,1,20,10,0.9643802
2023,1,20,11,0.963056525
2023,1,20,12,0.962893175
2023,1,20,13,1.04858175
2023,1,20,14,1.11079475
2023,1,20,15,1.11071575
2023,1,20,16,1.038028
2023,1,20,17,1.183256
2023,1,20,18,1.158175
2023,1,20,19,1.13562975
2023,1,20,20,1.1362355
2023,1,20,21,1.1343085
2023,1,20,22,1.13340525
2023,1,20,23,1.136385
2023,1,21,0,1.140766
2023,1,21,1,1.13667425
2023,1,21,2,1.1389825
2023,1,21,3,1.143214
2023,1,21,4,1.13708675
2023,1,21,5,1.13498825
2023,1,21,6,1.13686475
2023,1,21,7,1.13124175
2023,1,21,8,1.125162
2023,1,21,9,1.124761
2023,1,21,10,1.11832975
2023,1,21,11,1.11757575
2023,1,21,12,1.1141665
2023,1,21,13,1.102806
2023,1,21,14,1.1085075
2023,1,21,15,1.099818
2023,1,21,16,1.104714
2023,1,21,17,1.1003625
2023,1,21,18,1.09355375
2023,1,21,19,1.09462925
2023,1,21,20,1.09163625
2023,1,21,21,1.09263775
2023,1,21,22,1.0886415
2023,1,21,23,1.09186725
2023,1,22,0,1.09570625
2023,1,22,1,1.08760725
2023,1,22,2,1.08691125
2023,1,22,3,1.08693125
2023,1,22,4,1.08331975
2023,1,22,5,1.08005325
2023,1,22,6,1.0816725
2023,1,22,7,1.07632125
2023,1,22,8,1.0801095
2023,1,22,9,1.080431
2023,1,22,10,1.0771975
2023,1,22,11,1.07973475
2023,1,22,12,1.07277025
2023,1,22,13,1.06972825
2023,1,22,14,1.07105375
2023,1,22,15,1.06828175
2023,1,22,16,1.073834
2023,1,22,17,1.073203
2023,1,22,18,1.0698145
2023,1,22,19,1.07268825
2023,1,22,20,1.0726445
2023,1,22,21,1.074778
2023,1,22,22,1.071341
2023,1,22,23,1.06883775
2023,1,23,0,1.071431
2023,1,23,1,1.06967225
2023,1,23,2,1.0681735
2023,1,23,3,1.065542
2023,1,23,4,1.06417175
2023,1,23,5,1.064371
2023,1,23,6,1.06411425
2023,1,23,7,1.07062675
2023,1,23,8,1.06930075
2023,1,23,9,1.068082
2023,1,23,10,1.0705395
2023,1,23,11,1.0650555
2023,1,23,12,1.06344075
2023,1,23,13,1.06737325
2023,1,23,14,1.07081075
2023,1,23,15,1.0596495
2023,1,23,16,1.06749975
2023,1,23,17,1.06706875
2023,1,23,18,1.0643915
2023,1,23,19,1.06664775
2023,1,23,20,1.06825575
2023,1,23,21,1.06168075
2023,1,23,22,1.0636595
2023,1,23,23,1.0660515
2023,1,24,0,1.062736
2023,1,24,1,1.05868375
2023,1,24,2,1.0626235
2023,1,24,3,1.06353925
2023,1,24,4,1.055856
2023,1,24,5,1.061284
2023,1,24,6,1.0593905
2023,1,24,7,1.05586275
2023,1,24,8,1.056956
2023,1,24,9,1.0541755
2023,1,24,10,1.059399
2023,1,24,11,1.05859575
2023,1,24,12,1.055894
2023,1,24,13,1.06323775
2023,1,24,14,1.05295025
2023,1,24,15,1.08959025
2023,1,24,16,1.10920325
2023,1,24,17,1.07987175
2023,1,24,18,1.054606
2023,1,24,19,1.05563625
2023,1,24,20,1.04898925
2023,1,24,21,1.0504495
2023,1,24,22,1.0506945
2023,1,24,23,1.05094925
2023,1,25,0,1.04487325
2023,1,25,1,1.051369
2023,1,25,2,1.04787025
2023,1,25,3,1.053571
2023,1,25,4,1.04608225
2023,1,25,5,1.049236
2023,1,25,6,1.048771
2023,1,25,7,1.04812675
2023,1,25,8,1.04476975
2023,1,25,9,1.04731775
2023,1,25,10,1.0433065
2023,1,25,11,1.04403675
2023,1,25,12,1.0468965
2023,1,25,13,1.03659325
2023,1,25,14,1.04332425
2023,1,25,15,1.04416675
2023,1,25,16,1.04236425
2023,1,25,17,1.0404335
2023,1,25,18,1.04097
2023,1,25,19,1.0487305
2023,1,25,20,1.041984
2023,1,25,21,1.041834
2023,1,25,22,1.04546175
2023,1,25,23,1.04979
2023,1,26,0,1.04134575
2023,1,26,1,1.043171
2023,1,26,2,1.041497
2023,1,26,3,1.0435575
2023,1,26,4,1.042312
2023,1,26,5,1.0432845
2023,1,26,6,1.0441915
2023,1,26,7,1.05581075
2023,1,26,8,1.04860275
2023,1,26,9,1.048689
2023,1,26,10,1.0531275
2023,1,26,11,1.04910325
2023,1,26,12,1.04884325
2023,1,26,13,1.04872525
2023,1,26,14,1.0519635
2023,1,26,15,1.0541585
2023,1,26,16,1.05490225
2023,1,26,17,1.0477015
2023,1,26,18,1.055898
2023,1,26,19,1.05089075
2023,1,26,20,1.05252575
2023,1,26,21,1.05221575
2023,1,26,22,1.05992625
2023,1,26,23,1.055849
2023,1,27,0,1.05841525
2023,1,27,1,1.05811675
2023,1,27,2,1.0576685
2023,1,27,3,1.05615925
2023,1,27,4,1.0535505
2023,1,27,5,1.05099325
2023,1,27,6,1.054799
2023,1,27,7,1.05342225
2023,1,27,8,1.048899
2023,1,27,9,1.048593
2023,1,27,10,1.046284
2023,1,27,11,1.052167
2023,1,27,12,1.041121
2023,1,27,13,1.044489
2023,1,27,14,1.04566575
2023,1,27,15,1.04178175
2023,1,27,16,1.047194
2023,1,27,17,1.0406325
2023,1,27,18,1.0419255
2023,1,27,19,1.04463425
2023,1,27,20,1.04288325
2023,1,27,21,1.040872
2023,1,27,22,1.04535275
2023,1,27,23,1.04478275
2023,1,28,0,1.04173325
2023,1,28,1,1.046915
2023,1,28,2,1.042989
2023,1,28,3,1.044944
2023,1,28,4,1.04098175
2023,1,28,5,1.03754325
2023,1,28,6,1.04294225
2023,1,28,7,1.0378635
2023,1,28,8,1.03798875
2023,1,28,9,1.040253
2023,1,28,10,1.038739
2023,1,28,11,1.03910225
2023,1,28,12,1.03873325
2023,1,28,13,1.0366865
2023,1,28,14,1.03997725
2023,1,28,15,1.035566
2023,1,28,16,1.033389
2023,1,28,17,1.03370225
2023,1,28,18,1.0375855
2023,1,28,19,1.0414825
2023,1,28,20,1.036955
2023,1,28,21,1.03634875
2023,1,28,22,1.03965125
2023,1,28,23,1.03520425
2023,1,29,0,1.03725675
2023,1,29,1,1.03836225
2023,1,29,2,1.0357665
2023,1,29,3,1.03975475
2023,1,29,4,1.0420085
2023,1,29,5,1.037455
2023,1,29,6,1.03784525
2023,1,29,7,1.04063175
2023,1,29,8,1.03719975
2023,1,29,9,1.040649
