Year,Month,Day,Hour,CORN1,CORN2
2023,1,26,4,13.13316031,0
2023,1,26,5,12.67410358,0
2023,1,26,6,12.56516534,0
2023,1,26,7,12.44552517,0
2023,1,26,8,12.37760759,0
2023,1,26,9,12.50723178,0
2023,1,26,10,13.36943057,0
2023,1,26,11,14.50510755,0
2023,1,26,12,15.53877204,0
2023,1,26,13,16.43393498,0
2023,1,26,14,17.12771828,0
2023,1,26,15,17.59497813,0
2023,1,26,16,17.94738108,0
2023,1,26,17,17.99622695,0
2023,1,26,18,18.04183545,0
2023,1,26,19,18.0665308,0
2023,1,26,20,18.00785465,0
2023,1,26,21,18.01109868,0
2023,1,26,22,16.99208804,0
2023,1,26,23,16.45799433,0
2023,1,27,0,15.83620221,0
2023,1,27,1,15.02825184,0
2023,1,27,2,14.51052508,0
2023,1,27,3,13.93235762,0
2023,1,27,4,13.34184134,0
2023,1,27,5,12.87738566,0
2023,1,27,6,12.67350483,0
2023,1,27,7,12.57757447,0
2023,1,27,8,12.4585222,0
2023,1,27,9,12.74630747,0
2023,1,27,10,13.50907388,0
2023,1,27,11,14.61067075,0
2023,1,27,12,15.55714116,0
2023,1,27,13,16.20069394,0
2023,1,27,14,16.95308934,0
2023,1,27,15,17.4728886,0
2023,1,27,16,17.6406256,0
2023,1,27,17,17.56232558,0
2023,1,27,18,17.82596233,0
2023,1,27,19,17.93955308,0
2023,1,27,20,17.68663636,0
2023,1,27,21,17.47899938,0
2023,1,27,22,16.70495618,0
2023,1,27,23,15.93000175,0
2023,1,28,0,15.27457758,0
2023,1,28,1,14.55031222,0
2023,1,28,2,13.9669919,0
2023,1,28,3,13.5001317,0
2023,1,28,4,12.89788027,0
2023,1,28,5,12.64561953,0
2023,1,28,6,12.44900316,0
2023,1,28,7,12.23255192,0
2023,1,28,8,12.29577635,0
2023,1,28,9,12.39364378,0
2023,1,28,10,12.62664968,0
2023,1,28,11,13.25677054,0
2023,1,28,12,13.68650436,0
2023,1,28,13,14.12214428,0
2023,1,28,14,14.37194077,0
2023,1,28,15,14.47821161,0
2023,1,28,16,14.76604796,0
2023,1,28,17,15.15535641,0
2023,1,28,18,15.00005711,0
2023,1,28,19,14.95480278,0
2023,1,28,20,15.20102279,0
2023,1,28,21,15.16812923,0
2023,1,28,22,15.23855129,0
2023,1,28,23,14.98652013,0
2023,1,29,0,14.50507899,0
2023,1,29,1,14.10494965,0
2023,1,29,2,13.73232185,0
2023,1,29,3,13.25497741,0
2023,1,29,4,12.63532475,0
2023,1,29,5,12.59235537,0
2023,1,29,6,12.52697218,0
2023,1,29,7,12.43478077,0
2023,1,29,8,12.252028,0
2023,1,29,9,12.23073077,0
2023,1,29,10,12.54784775,0
2023,1,29,11,13.18551096,0
2023,1,29,12,13.78467978,0
2023,1,29,13,13.93284195,0
2023,1,29,14,14.28486935,0
2023,1,29,15,14.68344281,0
2023,1,29,16,14.92618028,0
2023,1,29,17,15.11449441,0
2023,1,29,18,15.09539304,0
2023,1,29,19,15.19828209,0
2023,1,29,20,15.19659674,0
2023,1,29,21,15.23985084,0
2023,1,29,22,15.33394909,0
2023,1,29,23,15.16257868,0
2023,1,30,0,14.77426231,0
2023,1,30,1,14.36369456,0
2023,1,30,2,14.18058043,0
2023,1,30,3,13.68812365,0
2023,1,30,4,13.06197679,0
2023,1,30,5,12.85479352,0
2023,1,30,6,12.63013575,0
2023,1,30,7,12.38316911,0
2023,1,30,8,12.36625644,0
2023,1,30,9,12.7463029,0
2023,1,30,10,13.38215494,0
2023,1,30,11,14.54809675,0
2023,1,30,12,15.3312826,0
2023,1,30,13,16.33967919,0
2023,1,30,14,17.26115657,0
2023,1,30,15,17.86735218,0
2023,1,30,16,17.81753485,0
2023,1,30,17,18.05120513,0
2023,1,30,18,18.12322985,0
2023,1,30,19,18.06096723,0
2023,1,30,20,18.35171836,0
2023,1,30,21,18.25036398,0
2023,1,30,22,17.73374925,0
2023,1,30,23,17.07223212,0
2023,1,31,0,15.90642885,0
2023,1,31,1,15.13991205,0
2023,1,31,2,14.80650549,0
2023,1,31,3,14.14730266,0
2023,1,31,4,13.43058695,0
2023,1,31,5,13.10168398,0
2023,1,31,6,12.86432747,0
2023,1,31,7,12.71818244,0
2023,1,31,8,12.66808898,0
2023,1,31,9,12.90247644,0
2023,1,31,10,13.70357516,0
2023,1,31,11,14.91468215,0
2023,1,31,12,15.54881134,0
2023,1,31,13,16.450042,0
2023,1,31,14,17.20560132,0
2023,1,31,15,17.73819103,0
2023,1,31,16,17.91667475,0
2023,1,31,17,17.93798418,0
2023,1,31,18,17.94869746,0
2023,1,31,19,18.01047685,0
2023,1,31,20,18.41642416,0
2023,1,31,21,18.12020153,0
2023,1,31,22,17.74760711,0
2023,1,31,23,17.19687141,0
2023,2,1,0,16.44918638,0
2023,2,1,1,15.44793885,0
2023,2,1,2,14.88069864,0
2023,2,1,3,14.37987741,0
2023,2,1,4,13.54038003,0
2023,2,1,5,13.2935889,0
2023,2,1,6,12.96358756,0
2023,2,1,7,12.81014085,0
2023,2,1,8,12.75068679,0
2023,2,1,9,13.06003298,0
2023,2,1,10,13.8095919,0
2023,2,1,11,14.70211526,0
2023,2,1,12,15.51192998,0
2023,2,1,13,16.62983928,0
2023,2,1,14,17.56598828,0
2023,2,1,15,17.8485611,0
2023,2,1,16,17.92985708,0
2023,2,1,17,17.80342338,0
2023,2,1,18,17.78229333,0
2023,2,1,19,17.74285138,0
2023,2,1,20,18.26800315,0
2023,2,1,21,18.13288738,0
2023,2,1,22,17.92114455,0
2023,2,1,23,17.27400403,0
2023,2,2,0,16.26213392,0
2023,2,2,1,15.44563024,0
2023,2,2,2,14.99449391,0
2023,2,2,3,14.36377911,0
2023,2,2,4,13.57496123,0
2023,2,2,5,13.26758591,0
2023,2,2,6,13.07762716,0
2023,2,2,7,12.98632943,0
2023,2,2,8,12.86779982,0
2023,2,2,9,13.1634542,0
2023,2,2,10,14.02026136,0
2023,2,2,11,15.11948232,0
2023,2,2,12,15.7884231,0
2023,2,2,13,16.64077338,0
2023,2,2,14,17.72337503,0
2023,2,2,15,18.06927628,0
2023,2,2,16,18.23599125,0
2023,2,2,17,18.05192688,0
2023,2,2,18,17.98533,0
2023,2,2,19,17.99450618,0
2023,2,2,20,18.25254943,0
2023,2,2,21,18.14121368,0
2023,2,2,22,17.62402712,0
2023,2,2,23,17.18709825,0
2023,2,3,0,16.51216275,0
2023,2,3,1,15.33872839,0
2023,2,3,2,14.69646737,0
2023,2,3,3,14.09921561,0
2023,2,3,4,13.75866523,0
2023,2,3,5,13.35066886,0
2023,2,3,6,13.18785191,0
2023,2,3,7,13.09357081,0
2023,2,3,8,13.00280325,0
2023,2,3,9,13.3027563,0
2023,2,3,10,13.97465829,0
2023,2,3,11,15.01363222,0
2023,2,3,12,15.89522853,0
2023,2,3,13,16.71171568,0
2023,2,3,14,17.60410869,0
2023,2,3,15,17.79291223,0
2023,2,3,16,18.16235998,0
2023,2,3,17,18.17307865,0
2023,2,3,18,18.22710143,0
2023,2,3,19,18.2079928,0
2023,2,3,20,18.08996988,0
2023,2,3,21,17.83962055,0
2023,2,3,22,17.34800968,0
2023,2,3,23,16.55743313,0
2023,2,4,0,15.91078786,0
2023,2,4,1,15.18652444,0
